scenario,variant,head_correct,head_pct,frozen_correct,frozen_pct,claude_ms_head,claude_ms_frozen,tokens_in_head,tokens_out_head,tokens_in_frozen,tokens_out_frozen
medium-2,variant-4,112,95.7,114,97.4,21946,20558,7749,1560,10954,1242
medium-2,variant-5,113,96.6,115,98.3,11948,19161,7759,811,10964,1312
medium-2,variant-6,110,94.0,113,96.6,16982,19796,7736,1238,10941,1402
medium-2,variant-7,112,95.7,115,98.3,15476,19448,7715,1013,10920,1305
medium-2,variant-8,113,96.6,111,94.9,12923,18680,7735,945,10940,1292
medium-2,variant-9,111,94.9,114,97.4,15728,18216,7737,901,10942,1212
medium-2,variant-10,106,90.6,113,96.6,18841,22743,7740,1385,10945,1565
medium-3,original,108,92.3,111,94.9,12661,10884,7715,956,10920,702
medium-3,variant-1,106,90.6,110,94.0,13465,31649,7733,777,10938,2759
medium-3,variant-2,109,93.2,111,94.9,10518,8910,7677,680,10882,535
medium-3,variant-3,106,90.6,109,93.2,9871,9104,7664,602,10869,501
medium-3,variant-4,108,92.3,112,95.7,19701,13580,7677,1515,10882,1012
medium-3,variant-5,108,92.3,113,96.6,14659,15972,7648,1249,10853,718
medium-3,variant-6,110,94.0,111,94.9,13450,26158,7715,1050,10920,2016
medium-3,variant-7,108,92.3,110,94.0,11637,18111,7652,877,10857,1311
medium-3,variant-8,108,92.3,112,95.7,9567,11301,7698,591,10903,770
medium-3,variant-9,110,94.0,112,95.7,17754,12513,7671,1277,10876,745
medium-3,variant-10,106,90.6,111,94.9,14350,14389,7692,1042,10897,716
